"author_id","age","interv_id1","interv_id2","yi","vi"
1,"60+ years",1,2,-0.780648313,0.011537058
2,"50+ years",1,2,-0.05768339,0.000866143
3,"65+ years",1,2,-0.426626058,0.145462808
