"author_id","age","interv_id1","interv_id2","N1","n1","N2","n2"
1,"50+ years",1,2,158993,17,236693,68
2,"60+ years",1,2,1831,474,2139,719
3,"65+ years",1,2,100751,654,83998,644
4,"60+ years",1,2,263,20,2949,375
5,"55+ years",1,2,4105,463,7119,1174
