"author_id","age","interv_id1","interv_id2","N1","n1","N2","n2"
1,"50+ years",1,2,158993,2,236693,21
2,"65+ years",1,2,45285,41,45285,69
3,"55+ years",1,2,402102,183,453015,296
4,"50+ years",1,2,1614377,646,1793698,1195
