"author_id","age","interv_id1","interv_id2","N1","n1","N2","n2"
1,"50+ years",1,2,158994,0.5,236694,0.5
2,"55+ years",1,2,402102,57,453015,72
3,"55+ years",1,2,116251,24,845906,273
