"author_id","age","interv_id1","interv_id2","N1","n1","N2","n2"
1,"50+ years",1,2,158993,2,236693,21
2,"60+ years",1,2,1518,161,1638,218
3,"65+ years",1,2,100751,14,83998,22
4,"55+ years",1,2,402102,183,453015,296
5,"50+ years",1,2,1614377,646,1793698,1195
6,"55+ years",1,2,116251,24,845906,273
